row_index,born,bornCity,bornCountry,bornCountryCode,died,diedCountry,diedCountryCode,firstname,gender,id,surname
0,1845-03-27,Lennep (now Remscheid),Prussia (now Germany),DE,1923-02-10,Germany,DE,Wilhelm Conrad,male,1,Röntgen
1,1853-07-18,Arnhem,the Netherlands,NL,1928-02-04,the Netherlands,NL,Hendrik Antoon,male,2,Lorentz
2,1865-05-25,Zonnemaire,the Netherlands,NL,1943-10-09,the Netherlands,NL,Pieter,male,3,Zeeman
3,1852-12-15,Paris,France,FR,1908-08-25,France,FR,Antoine Henri,male,4,Becquerel
4,1859-05-15,Paris,France,FR,1906-04-19,France,FR,Pierre,male,5,Curie
5,1867-11-07,Warsaw,Russian Empire (now Poland),PL,1934-07-04,France,FR,Marie,female,6,"Curie, née Sklodowska"
6,1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,GB,1919-06-30,United Kingdom,GB,Lord Rayleigh,male,8,(John William Strutt)
7,1862-06-07,Pressburg (now Bratislava),Hungary (now Slovakia),SK,1947-05-20,Germany,DE,Philipp Eduard Anton,male,9,von Lenard
8,1856-12-18,"Cheetham Hill, near Manchester",United Kingdom,GB,1940-08-30,United Kingdom,GB,Joseph John,male,10,Thomson
9,1852-12-19,Strelno (now Strzelno),Prussia (now Poland),PL,1931-05-09,USA,US,Albert Abraham,male,11,Michelson
10,1845-08-16,Hollerich,Luxembourg,LU,1921-07-13,,,Gabriel,male,12,Lippmann
11,1874-04-25,Bologna,Italy,IT,1937-07-20,Italy,IT,Guglielmo,male,13,Marconi
12,1850-06-06,Fulda,Hesse-Kassel (now Germany),DE,1918-04-20,USA,US,Karl Ferdinand,male,14,Braun
13,1837-11-23,Leiden,the Netherlands,NL,1923-03-08,the Netherlands,NL,Johannes Diderik,male,15,van der Waals
14,1864-01-13,Gaffken (now Parusnoye),Prussia (now Russia),RU,1928-08-30,Germany,DE,Wilhelm,male,16,Wien
15,1869-11-30,Stenstorp,Sweden,SE,1937-12-09,Sweden,SE,Nils Gustaf,male,17,Dalén
16,1853-09-21,Groningen,the Netherlands,NL,1926-02-21,the Netherlands,NL,Heike,male,18,Kamerlingh Onnes
17,1879-10-09,Pfaffendorf,Germany,DE,1960-04-23,West Germany (now Germany),DE,Max,male,19,von Laue
18,1862-07-02,Wigton,United Kingdom,GB,1942-03-12,United Kingdom,GB,Sir William Henry,male,20,Bragg
19,1890-03-31,Adelaide,Australia,AU,1971-07-01,United Kingdom,GB,William Lawrence,male,21,Bragg
20,1877-06-07,Widnes,United Kingdom,GB,1944-10-23,Scotland,GB,Charles Glover,male,22,Barkla
21,1858-04-23,Kiel,Schleswig (now Germany),DE,1947-10-04,West Germany (now Germany),DE,Max Karl Ernst Ludwig,male,23,Planck
22,1874-04-15,Schickenhof,Germany,DE,1957-06-21,West Germany (now Germany),DE,Johannes,male,24,Stark
23,1861-02-15,Fleurier,Switzerland,CH,1938-06-13,France,FR,Charles Edouard,male,25,Guillaume
24,1879-03-14,Ulm,Germany,DE,1955-04-18,USA,US,Albert,male,26,Einstein
25,1885-10-07,Copenhagen,Denmark,DK,1962-11-18,Denmark,DK,Niels Henrik David,male,27,Bohr
26,1868-03-22,"Morrison, IL",USA,US,1953-12-19,USA,US,Robert Andrews,male,28,Millikan
27,1886-12-03,Örebro,Sweden,SE,1978-09-26,Sweden,SE,Karl Manne Georg,male,29,Siegbahn
28,1882-08-26,Hamburg,Germany,DE,1964-05-21,West Germany (now Germany),DE,James,male,30,Franck
29,1887-07-22,Hamburg,Germany,DE,1975-10-30,East Germany,DE,Gustav Ludwig,male,31,Hertz
30,1870-09-30,Lille,France,FR,1942-04-17,USA,US,Jean Baptiste,male,32,Perrin
31,1892-09-10,"Wooster, OH",USA,US,1962-03-15,USA,US,Arthur Holly,male,33,Compton
32,1869-02-14,Glencorse,Scotland,GB,1959-11-15,Scotland,GB,Charles Thomson Rees,male,34,Wilson
33,1879-04-26,Dewsbury,United Kingdom,GB,1959-02-15,United Kingdom,GB,Owen Willans,male,35,Richardson
34,1892-08-15,Dieppe,France,FR,1987-03-19,France,FR,Prince Louis-Victor Pierre Raymond,male,36,de Broglie
35,1888-11-07,Tiruchirappalli,India,IN,1970-11-21,India,IN,Sir Chandrasekhara Venkata,male,37,Raman
36,1901-12-05,Würzburg,Germany,DE,1976-02-01,West Germany (now Germany),DE,Werner Karl,male,38,Heisenberg
37,1887-08-12,Vienna,Austria,AT,1961-01-04,Austria,AT,Erwin,male,39,Schrödinger
38,1902-08-08,Bristol,United Kingdom,GB,1984-10-20,USA,US,Paul Adrien Maurice,male,40,Dirac
39,1891-10-20,Manchester,United Kingdom,GB,1974-07-24,United Kingdom,GB,James,male,41,Chadwick
40,1883-06-24,Peggau,Austria,AT,1964-12-17,USA,US,Victor Franz,male,42,Hess
41,1905-09-03,"New York, NY",USA,US,1991-01-11,USA,US,Carl David,male,43,Anderson
42,1881-10-22,"Bloomington, IL",USA,US,1958-02-01,USA,US,Clinton Joseph,male,44,Davisson
43,1892-05-03,Cambridge,United Kingdom,GB,1975-09-10,United Kingdom,GB,George Paget,male,45,Thomson
44,1901-09-29,Rome,Italy,IT,1954-11-28,USA,US,Enrico,male,46,Fermi
45,1901-08-08,"Canton, SD",USA,US,1958-08-27,USA,US,Ernest Orlando,male,47,Lawrence
46,1888-02-17,Sorau (now Zory),Germany (now Poland),PL,1969-08-17,USA,US,Otto,male,48,Stern
47,1898-07-29,Rymanow,Austria-Hungary (now Poland),PL,1988-01-11,USA,US,Isidor Isaac,male,49,Rabi
48,1900-04-25,Vienna,Austria,AT,1958-12-15,Switzerland,CH,Wolfgang,male,50,Pauli
49,1882-04-21,"Cambridge, MA",USA,US,1961-08-20,USA,US,Percy Williams,male,51,Bridgman
50,1892-09-06,Bradford,United Kingdom,GB,1965-04-21,Scotland,GB,Sir Edward Victor,male,52,Appleton
51,1897-11-18,London,United Kingdom,GB,1974-07-13,United Kingdom,GB,Patrick Maynard Stuart,male,53,Blackett
52,1907-01-23,Tokyo,Japan,JP,1981-09-08,Japan,JP,Hideki,male,54,Yukawa
53,1903-12-05,Tonbridge,United Kingdom,GB,1969-08-09,Italy,IT,Cecil Frank,male,55,Powell
54,1897-05-27,Todmorden,United Kingdom,GB,1967-09-18,United Kingdom,GB,Sir John Douglas,male,56,Cockcroft
55,1903-10-06,Dungarvan,Ireland,IE,1995-06-25,Northern Ireland,GB,Ernest Thomas Sinton,male,57,Walton
56,1905-10-23,Zurich,Switzerland,CH,1983-09-10,Switzerland,CH,Felix,male,58,Bloch
57,1912-08-30,"Taylorville, IL",USA,US,1997-03-07,USA,US,Edward Mills,male,59,Purcell
58,1888-07-16,Amsterdam,the Netherlands,NL,1966-03-10,the Netherlands,NL,Frits,male,60,Zernike
59,1882-12-11,Breslau (now Wroclaw),Germany (now Poland),PL,1970-01-05,West Germany (now Germany),DE,Max,male,61,Born
