row_index,category,firstname,id,motivation,prize_index,share,surname,year
0,physics,Rainer,941,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",0,2,Weiss,2017
1,physics,Barry C.,942,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",1,4,Barish,2017
2,physics,Kip S.,943,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2,4,Thorne,2017
3,chemistry,Jacques,944,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",0,3,Dubochet,2017
4,chemistry,Joachim,945,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",1,3,Frank,2017
5,chemistry,Richard,946,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",2,3,Henderson,2017
6,medicine,Jeffrey C.,938,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",0,3,Hall,2017
7,medicine,Michael,939,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",1,3,Rosbash,2017
8,medicine,Michael W.,940,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",2,3,Young,2017
9,literature,Kazuo,947,"""who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world""",0,1,Ishiguro,2017
10,peace,International Campaign to Abolish Nuclear Weapons (ICAN),948,"""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",0,1,,2017
11,economics,Richard H.,949,"""for his contributions to behavioural economics""",0,1,Thaler,2017
12,physics,David J.,928,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",0,2,Thouless,2016
13,physics,F. Duncan M.,929,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",1,4,Haldane,2016
14,physics,J. Michael,930,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2,4,Kosterlitz,2016
15,chemistry,Jean-Pierre,931,"""for the design and synthesis of molecular machines""",0,3,Sauvage,2016
16,chemistry,Sir J. Fraser,932,"""for the design and synthesis of molecular machines""",1,3,Stoddart,2016
17,chemistry,Bernard L.,933,"""for the design and synthesis of molecular machines""",2,3,Feringa,2016
